experiment,run_id,commit,job_id,job_conclusion,measurement_status,variant,top,mode,period_ns,seed,mapped_cells,mapped_area_um2,mapped_sha256,timing_pass,electrical_pass,routing_pass,strict_physical_pass,fail_reasons,setup_slack_ns,setup_tns_ns,hold_slack_ns,hold_tns_ns,max_data_arrival_ns,max_cap_violations,worst_max_cap_slack_ff,max_transition_violations,worst_max_transition_slack_ns,max_fanout_violations,worst_max_fanout_slack,logical_cells,dffs,logical_area_um2,cts_repair_timing_calls,cts_setup_buffers,cts_hold_buffers,grt_setup_buffers,grt_hold_buffers,grt_repair_design_buffers,critical_startpoint,critical_endpoint,critical_path_logic_cells,critical_path_buffers,critical_path_max_fanout,routed_wire_um,vias,detailed_route_drc,antenna_net_violations,antenna_pin_violations,final_evidence_complete,final_odb_bytes,final_def_bytes,final_gds_bytes,final_netlist_bytes,final_sdc_bytes,final_spef_bytes,flow_runtime_seconds,runtime_source,note
paired-primary,33973681605,0ea49ea973c964ccc35f106c4cb1b7c1d89f4fd0,101326999140,failure,raw-recovered,v36,kernel_v36rcm,prep6,3.25,1,55697,63263.844,2098758bd506bd153ff5ea6f8ddb3e82514d5ac3978dcfb67416c06219235647,true,false,true,false,electrical,0.0171,0.0000,0.0465,0.0000,3.4001,1,-1.5242,0,,1,-2.0000,68644,168,75422.970,1,17,0,26,0,0,D[1] (input port clocked by Core_Clk),_111123_ (rising edge-triggered flip-flop clocked by Core_Clk),73,2,3,732397,410614,0,0,0,true,93003872,52110492,50306220,6309476,67541,66571736,1327,github-log estimate,parser rejected integral max-fanout slack; physical flow and artifacts complete
paired-primary,33973681605,0ea49ea973c964ccc35f106c4cb1b7c1d89f4fd0,101326999114,success,validated,v36,kernel_v36rcm,prep5,3.25,1,54618,62285.496,502ddbdb4b82e1cd1806ffe56a6fa4d2b08e7736dd8fb880bf0bee79e6fecb7f,false,true,true,false,setup|setup_tns,-0.0347,-0.0856,0.0292,0.0000,3.4276,0,,0,,0,,66557,168,73611.510,1,35,2,43,0,0,X[2] (input port clocked by Core_Clk),_109067_ (rising edge-triggered flip-flop clocked by Core_Clk),80,5,3,642746,393682,0,0,0,true,90080580,50008677,48069524,6116225,67541,62588473,1690,summary,
paired-primary,33973681605,0ea49ea973c964ccc35f106c4cb1b7c1d89f4fd0,101326999094,success,validated,v43,kernel_v43sj17,prep6,3.20,1,17599,21837.004,08a531740742dee1b5019daa217f13f06bb6cc9b9d6b827a4eee9ff61d3851d1,true,true,true,true,,0.0265,0.0000,0.0194,0.0000,3.3035,0,,0,,0,,24445,168,28123.648,1,21,6,27,0,0,X[0] (input port clocked by Core_Clk),_35029_ (rising edge-triggered flip-flop clocked by Core_Clk),99,5,4,307596,153938,0,0,0,true,41855144,21700263,20849120,2154812,67542,24805820,833,summary,
paired-primary,33973681605,0ea49ea973c964ccc35f106c4cb1b7c1d89f4fd0,101326999139,success,validated,v43,kernel_v43sj17,prep5,3.20,1,17106,21120.400,96a9d251ce879e27b8b9e970b0b9526b79d281b3ba9eb7453884acd3682f3428,true,false,true,false,electrical,0.0437,0.0000,0.0222,0.0000,3.2915,2,-2.9080,0,,0,,22444,168,26131.840,1,6,10,11,0,5,X[3] (input port clocked by Core_Clk),_34040_ (rising edge-triggered flip-flop clocked by Core_Clk),94,4,4,294548,143752,0,0,0,true,39798012,20478775,19683690,1992158,67542,23073603,699,summary,
paired-primary,33973681605,0ea49ea973c964ccc35f106c4cb1b7c1d89f4fd0,101326999092,success,validated,v43,kernel_v43sj17,prep6,3.15,1,17599,21837.004,08a531740742dee1b5019daa217f13f06bb6cc9b9d6b827a4eee9ff61d3851d1,true,true,true,true,,0.0006,0.0000,0.0187,0.0000,3.2756,0,,0,,0,,24707,168,28334.586,1,23,8,30,1,0,X[0] (input port clocked by Core_Clk),_35028_ (rising edge-triggered flip-flop clocked by Core_Clk),98,6,3,307877,154139,0,0,0,true,41979904,21745894,20870338,2173779,67542,24577932,701,summary,
paired-primary,33973681605,0ea49ea973c964ccc35f106c4cb1b7c1d89f4fd0,101326999154,success,validated,v43,kernel_v43sj17,prep5,3.15,1,17106,21120.400,96a9d251ce879e27b8b9e970b0b9526b79d281b3ba9eb7453884acd3682f3428,true,false,true,false,electrical,0.0480,0.0000,0.0156,0.0000,3.2293,1,-2.1108,0,,0,,22916,168,26605.054,1,12,7,15,0,3,X[3] (input port clocked by Core_Clk),_34040_ (rising edge-triggered flip-flop clocked by Core_Clk),96,3,3,297259,145674,0,0,0,true,40221478,20747031,19945920,2026463,67542,23575552,568,summary,
v43-seed-check,33975505349,26494445f38875a28c76c10d7b69019cff36ee5f,101331893684,success,validated,v43,kernel_v43sj17,prep6,3.15,1,17599,21837.004,08a531740742dee1b5019daa217f13f06bb6cc9b9d6b827a4eee9ff61d3851d1,true,true,true,true,,0.0006,0.0000,0.0187,0.0000,3.2756,0,,0,,0,,24707,168,28334.586,1,23,8,30,1,0,X[0] (input port clocked by Core_Clk),_35028_ (rising edge-triggered flip-flop clocked by Core_Clk),98,6,3,307877,154139,0,0,0,true,41979904,21745894,20870338,2173779,67542,24577932,868,summary,
v43-seed-check,33975505349,26494445f38875a28c76c10d7b69019cff36ee5f,101331893688,success,validated,v43,kernel_v43sj17,prep5,3.15,1,17106,21120.400,96a9d251ce879e27b8b9e970b0b9526b79d281b3ba9eb7453884acd3682f3428,true,false,true,false,electrical,0.0480,0.0000,0.0156,0.0000,3.2293,1,-2.1108,0,,0,,22916,168,26605.054,1,12,7,15,0,3,X[3] (input port clocked by Core_Clk),_34040_ (rising edge-triggered flip-flop clocked by Core_Clk),96,3,3,297259,145674,0,0,0,true,40221478,20747031,19945920,2026463,67542,23575552,731,summary,
v43-seed-check,33975505349,26494445f38875a28c76c10d7b69019cff36ee5f,101331893711,success,validated,v43,kernel_v43sj17,prep6,3.15,2,17599,21837.004,08a531740742dee1b5019daa217f13f06bb6cc9b9d6b827a4eee9ff61d3851d1,true,true,true,true,,0.0275,0.0000,0.0193,0.0000,3.2539,0,,0,,0,,24629,168,28383.530,1,14,5,45,2,0,X[3] (input port clocked by Core_Clk),_35028_ (rising edge-triggered flip-flop clocked by Core_Clk),99,4,3,307313,154061,0,0,0,true,42022803,21764990,20908106,2168011,67542,24761108,893,summary,
v43-seed-check,33975505349,26494445f38875a28c76c10d7b69019cff36ee5f,101331893661,success,validated,v43,kernel_v43sj17,prep5,3.15,2,17106,21120.400,96a9d251ce879e27b8b9e970b0b9526b79d281b3ba9eb7453884acd3682f3428,true,true,true,true,,0.0547,0.0000,0.0280,0.0000,3.2242,0,,0,,0,,22896,168,26536.160,1,5,5,5,0,3,X[3] (input port clocked by Core_Clk),_34040_ (rising edge-triggered flip-flop clocked by Core_Clk),98,3,4,295716,145641,0,0,0,true,40249561,20774235,19988824,2024949,67542,23556116,734,summary,
