stage,run_id,commit,job_id,job_conclusion,variant,top,period_ns,timing_pass,electrical_pass,routing_pass,strict_physical_pass,fail_reasons,setup_slack_ns,hold_slack_ns,setup_tns_ns,hold_tns_ns,max_data_arrival_ns,max_cap_violations,worst_max_cap_slack_ff,max_transition_violations,worst_max_transition_slack_ns,max_fanout_violations,worst_max_fanout_slack,logical_cells,dffs,logical_area_um2,cts_repair_timing_calls,cts_hold_buffers,grt_hold_buffers,grt_repair_design_buffers,routed_wire_um,vias,detailed_route_drc,antenna_net_violations,antenna_pin_violations,final_evidence_complete,final_odb_bytes,final_def_bytes,final_gds_bytes,final_netlist_bytes,final_sdc_bytes,final_spef_bytes
coarse,33953087457,a8e3e327b5172952ddddb4c48a1eed7ba2fd669a,101271374763,success,v39,kernel_v39c42,5.5,true,false,true,false,electrical,0.5084,0.0150,0.0000,0.0000,5.1375,3,,0,,0,,41135,168,48678.000,1,7,0,17,666209,314344,0,0,0,true,68658875,39273138,38974472,3885607,67541,52949606
coarse,33953087457,a8e3e327b5172952ddddb4c48a1eed7ba2fd669a,101271374768,success,v39,kernel_v39c42,5,true,false,true,false,electrical,0.2325,0.0227,0.0000,0.0000,4.9232,13,,0,,0,,41167,168,48720.560,1,9,0,10,667080,315422,0,0,0,true,68876079,39424387,39149564,3887663,67541,53167381
coarse,33953087457,a8e3e327b5172952ddddb4c48a1eed7ba2fd669a,101271374771,success,v39,kernel_v39c42,6,true,false,true,false,electrical,0.9057,0.0232,0.0000,0.0000,5.2444,13,,0,,0,,41138,168,48694.226,1,7,0,14,662272,314362,0,0,0,true,68676315,39289860,38989554,3885938,67541,52923857
coarse,33953087457,a8e3e327b5172952ddddb4c48a1eed7ba2fd669a,101271374777,success,v36,kernel_v36rcm,4.5,true,true,true,true,,0.1981,0.0251,0.0000,0.0000,4.4535,0,,0,,0,,58432,168,65790.578,1,2,0,10,694026,380052,0,0,0,true,84391265,47774087,46494126,5554665,67541,61730530
coarse,33953087457,a8e3e327b5172952ddddb4c48a1eed7ba2fd669a,101271374784,success,v43,kernel_v43sj17,5,true,false,true,false,electrical,0.3060,0.0231,0.0000,0.0000,4.8247,3,,0,,0,,18750,168,22847.804,1,9,2,3,291652,136976,0,0,0,true,36888543,19330308,18727372,1750949,67542,22790750
coarse,33953087457,a8e3e327b5172952ddddb4c48a1eed7ba2fd669a,101271374792,success,v43,kernel_v43sj17,6,true,false,true,false,electrical,1.0733,0.0266,0.0000,0.0000,5.0564,3,,0,,0,,18747,168,22812.160,1,17,0,2,288977,137136,0,0,0,true,36954963,19371565,18747142,1750795,67542,22704082
coarse,33953087457,a8e3e327b5172952ddddb4c48a1eed7ba2fd669a,101271374794,success,v36,kernel_v36rcm,5.5,true,false,true,false,electrical,0.8995,0.0251,0.0000,0.0000,4.7669,1,,0,,0,,58348,168,65637.894,1,2,0,5,655527,376320,0,0,0,true,84008347,47433996,46021272,5549227,67541,61158244
coarse,33953087457,a8e3e327b5172952ddddb4c48a1eed7ba2fd669a,101271374799,success,v36,kernel_v36rcm,6,true,true,true,true,,1.2625,0.0292,0.0000,0.0000,4.9001,0,,0,,0,,58358,168,65640.288,1,3,0,2,658966,376848,0,0,0,true,84006463,47402418,45959958,5549917,67541,61198247
coarse,33953087457,a8e3e327b5172952ddddb4c48a1eed7ba2fd669a,101271374809,success,v43,kernel_v43sj17,4.5,true,false,true,false,electrical,0.2050,0.0171,0.0000,0.0000,4.4283,3,,0,,0,,18756,168,23034.004,1,13,0,2,294327,136571,0,0,0,true,36947988,19293308,18700634,1751657,67542,22483890
coarse,33953087457,a8e3e327b5172952ddddb4c48a1eed7ba2fd669a,101271374818,success,v43,kernel_v43sj17,5.5,true,false,true,false,electrical,0.5692,0.0252,0.0000,0.0000,5.0553,2,,0,,0,,18742,168,22808.170,1,10,0,4,290496,136440,0,0,0,true,36869506,19305433,18681090,1750293,67542,22587383
